Village;Population;km2_size
Lummen;13501;53,38
Haacht;13158;30,57
Tremelo;13339;21,57
Sprimont;12426;74,28
Anzegem;13718;41,79
Opwijk;11718;19,69
Thuin;14603;76,17
Brakel;13709;56,46
Chapelle-lez-Herlaimont;13909;18,10
Lubbeek;13620;46,13
Wingene;12517;68,42
Buggenhout;13752;25,25
Herselt;13632;52,32
Aartselaar;14438;10,93
Assenede;13579;87,22
Amay;12987;27,61
Hamont-Achel;13585;43,66
Geldenaken;11483;73,31
Lasne;13512;47,22
Wezembeek-Oppem;13622;6,82
Oud-Turnhout;12413;38,80
Edingen;10863;40,59
Jabbeke;13609;53,76
Belœil;13226;61,55
Ichtegem;13242;45,33
Graven;11827;55,44
Leuze-en-Hainaut;13031;73,53
Kraainem;12692;5,80
Wanze;12026;43,95
Couvin;13249;206,93
Kuurne;12785;10,01
Oosterzele;13204;43,12
Ham-sur-Heure-Nalinnes;13253;45,68
Boechout;11919;20,66
Liedekerke;11800;10,08
Affligem;11651;17,70
Blégny;12382;26,07
Dinant;12735;99,80
Mettet;11317;116,78
Bocholt;11887;59,34
Arendonk;11805;55,38
Zandhoven;12085;40,10
Zelzate;12094;13,71
Keerbergen;11992;18,39
Esneux;13178;34,05
Gavere;11847;31,35
Wommelgem;11762;13,01
De Haan;11355;42,17
Malmedy;11144;99,96
Kortemark;12232;55,00
Gerpinnes;12050;47,10
Herk-de-Stad;11615;42,83
Boortmeerbeek;11397;18,64
Rochefort;11747;165,27
Aywaille;10065;79,97
Olen;10895;23,17
Hechtel-Eksel;11149;76,70
Zonnebeke;11545;67,57
Anderlues;11540;17,02
Steenokkerzeel;10419;23,46
Laarne;11610;32,07
Kampenhout;10732;33,49
Rijkevorsel;10455;46,79
Kinrooi;11749;54,76
Deerlijk;11460;16,82
Veurne;11854;96,34
Profondeville;10741;50,34
Gistel;11085;42,25
Theux;11170;83,36
Beyne-Heusay;11661;7,32
Frasnes-lez-Anvaing;10872;112,44
Nazareth;10876;35,19
Bernissart;11433;43,42
Melle;10349;15,21
Hemiksem;9151;5,44
Berlaar;10150;24,57
Wichelen;10961;22,87
Roosdaal;10573;21,69
Alken;10900;28,14
Nieuwpoort;10261;31,00
Chaumont-Gistoux;10141;48,09
Retie;9733;48,39
Durbuy;9916;156,61
Hoeilaart;9783;20,43
Libramont-Chevigny;9277;177,86
Staden;10986;46,24
Moorslede;10733;35,34
Vosselaar;10015;11,85
Seneffe;10528;62,77
Virton;11009;94,49
Ecaussines;9620;34,77
Florennes;10668;133,55
Farciennes;11336;10,39
Grobbendonk;10449;28,36
De Panne;9722;23,90
Oud-Heverlee;10522;31,14
Ingelmunster;10651;16,16
Borgloon;10116;51,12
Kelmis;10121;18,12
Borsbeek;10373;3,92
Ham;9326;32,69
De Pinte;10124;17,98
Rebecq;9877;39,08
Damme;11058;89,52
Waasmunster;10237;31,93
Villers-la-Ville;9092;47,45
Raeren;9550;74,21
Meulebeke;11055;29,35
Tielt-Winge;9814;44,16
Aiseau-Presles;10931;22,19
Jurbeke;9229;57,86
Court-Saint-Étienne;8746;26,64
Hulshout;8626;17,35
Blieberg;9361;53,18
Steenput;9538;31,75
Kasteelbrakel;8994;22,70
Niel;8405;5,27
Sint-Lievens-Houtem;9171;26,67
Fosses-la-Ville;8750;63,24
Begijnendijk;9088;17,62
Meerhout;9192;36,29
Avelgem;9148;21,75
Houthulst;8946;55,89
Bierbeek;8822;39,73
Bertem;8843;29,75
Welkenraedt;8801;24,47
Holsbeek;8857;38,50
Montigny-le-Tilleul;10351;15,10
Spa;10333;39,85
Wijnegem;8660;7,86
Erquelinnes;9713;44,23
Huldenberg;9009;39,64
Neupré;9513;31,69
Hooglede;9750;37,84
Sankt Vith;8941;146,93
Wielsbeke;8911;21,76
Hoeselt;9133;30,02
Oudenburg;8810;35,38
Ledegem;9344;24,76
Dessel;8545;27,03
Chimay;9759;197,10
Pepinster;9292;24,79
Kapelle-op-den-Bos;8783;15,25
Les Bons Villers;8728;42,55
Juprelle;8145;35,36
Perwijs;7057;50,81
Halen;8216;36,29
La Bruyère;7836;52,98
Beauraing;8096;174,55
Philippeville;7939;156,71
Gooik;8834;39,70
Awans;8270;27,16
Lennik;8588;30,80
Herenthout;8302;23,55
Ardooie;9508;34,58
Yvoir;7914;56,84
Orp-Jauche;7437;50,50
Lichtervelde;8270;25,93
Bitsingen;8176;38,17
Bertrix;8054;137,70
Galmaarden;7741;34,93
Le Roeulx;7931;42,80
Koekelare;8154;39,19
Jalhay;7497;107,75
Dentergem;7868;25,94
Merksplas;8055;44,56
Lint;7864;5,57
Schelle;7743;7,80
Zoutleeuw;7791;46,73
Habay;6968;103,64
Kortessem;8010;33,90
Sombreffe;7305;35,78
Gingelom;7600;56,49
Opzullik;7471;67,68
Messancy;6902;52,43
Trooz;7689;24,20
Hove;8306;5,99
Sint-Martens-Latem;8314;14,34
As;7213;22,07
Boutersem;7234;30,75
Zwalm;7683;33,82
Floreffe;7092;38,89
Brunehaut;7446;46,11
Fernelmont;6298;65,61
Quévy;7474;65,16
Vorselaar;7353;27,62
Oostrozebeke;7317;16,62
Mont-Saint-Guibert;5871;18,63
Kortenaken;7443;49,06
Heuvelland;8399;94,24
Vielsalm;7182;139,76
Langemark-Poelkapelle;7656;52,53
Neufchâteau;6167;113,79
Estinnes;7521;72,73
Wachtebeke;6809;34,53
Chastre;6487;31,27
Antoing;7481;31,13
Dalhem;6145;36,06
Walhain;5412;37,94
Terhulpen;6943;15,60
Weismes;6503;96,93
Wellen;6725;26,72
Hamois;6462;76,42
Heers;6575;53,07
Zutendaal;6755;32,07
Linter;6852;36,37
Gesves;5767;64,92
Stavelot;6479;85,07
Assesse;5992;78,16
Bevekom;6199;38,58
Anhée;6771;65,67
Beaumont;6577;92,97
Nieuwerkerken;6483;22,46
